LogReg results without classifier threshold tuning
                      Label	Prec	Rec 	F1  	Support
                   holidays	0.31	0.97	0.47	   39
             identification	0.41	0.78	0.54	   36
                   identity	0.57	0.73	0.64	   11
                 illegality	0.84	0.91	0.87	  140
                   immunity	0.42	0.94	0.58	   33
                 impairment	0.72	0.93	0.81	   54
                 imposition	0.74	0.98	0.84	   81
                improvement	0.28	0.72	0.41	   74
                  incentive	0.37	0.85	0.51	  360
                     income	0.60	0.80	0.68	   98
              inconsistency	0.33	0.76	0.46	   25
              incorporation	0.37	0.87	0.52	  304
                   increase	0.54	0.90	0.67	  173
                incremental	0.41	0.91	0.57	   58
                 incumbency	0.57	0.96	0.71	   47
               indebtedness	0.47	0.88	0.61	  378
            indemnification	0.72	0.93	0.81	 1839
                 indemnitee	0.66	0.93	0.77	   60
                  indemnity	0.35	0.83	0.49	  450
                  indenture	0.29	1.00	0.45	   17
               independence	0.50	0.89	0.64	   18
                independent	0.59	0.91	0.72	  397
                 indulgence	0.40	1.00	0.57	   20
                information	0.52	0.83	0.64	 1837
               infringement	0.22	0.76	0.34	   17
                    initial	0.40	0.76	0.53	  217
                 injunction	0.45	0.87	0.59	   75
                 injunctive	0.32	0.93	0.48	  181
                    insider	0.78	0.97	0.86	   99
                 insolvency	0.28	0.84	0.42	   57
                 inspection	0.64	0.92	0.75	  389
               installation	0.69	0.82	0.75	   22
                installment	0.42	0.86	0.56	   37
                instruction	0.65	0.92	0.76	  124
                 instrument	0.40	0.85	0.54	  163
                  insurance	0.77	0.94	0.85	 1519
                    insurer	0.64	0.94	0.76	   17
                integration	0.34	0.85	0.48	  466
               intellectual	0.65	0.93	0.76	  510
              intercreditor	0.53	0.93	0.67	   89
                   interest	0.59	0.85	0.70	 2425
               interference	0.68	0.83	0.75	   23
                   internal	0.65	0.94	0.77	  126
             interpretation	0.25	0.78	0.37	  494
               interruption	0.62	1.00	0.77	   15
                 invalidity	0.14	0.77	0.23	  102
                  invention	0.45	0.92	0.60	  156
                  inventory	0.63	0.91	0.74	  123
              investigation	0.38	0.81	0.52	   57
                 investment	0.67	0.91	0.77	  885
                   investor	0.54	0.93	0.69	  211
                    invoice	0.32	0.90	0.47	   29
                involuntary	0.45	0.88	0.60	   73
                        isp	0.89	1.00	0.94	   88
                   issuance	0.52	0.85	0.65	  848
                     issuer	0.61	0.93	0.74	   86
                    joinder	0.43	0.80	0.56	   70
                      joint	0.40	0.87	0.55	  231
                   judgment	0.85	0.98	0.91	  177
               jurisdiction	0.49	0.89	0.64	 1247
                 jury trial	0.67	0.95	0.79	  922
                   keepwell	0.97	1.00	0.99	   99
                        key	0.35	0.73	0.47	   22
                    knowing	0.17	0.72	0.27	   29
                  knowledge	0.24	0.74	0.36	   27
                        kyc	0.19	1.00	0.32	   27
                          l	0.71	0.98	0.82	  196
                      labor	0.72	0.96	0.82	  287
                   landlord	0.38	0.82	0.52	   72
                   language	0.81	0.98	0.88	  124
             latent defects	0.00	0.00	0.00	    1
                        law	0.87	0.90	0.88	 6505
                   lawsuits	0.59	0.72	0.65	   18
                         lc	0.39	1.00	0.56	   29
                      lease	0.36	0.85	0.51	  353
                 lease-back	0.41	0.94	0.57	   17
                  leaseback	0.71	1.00	0.83	   86
                    leasing	0.41	0.86	0.55	   21
                      leave	0.49	0.94	0.64	   87
                      legal	0.33	0.74	0.46	  611
                     legend	0.61	0.97	0.75	  182
                     lender	0.75	0.92	0.82	 1863
           letter of credit	0.61	0.93	0.74	  618
        letter of direction	0.50	1.00	0.67	    6
             leverage ratio	0.75	0.97	0.85	  216
                  liability	0.49	0.83	0.62	 1145
                    license	0.47	0.86	0.61	  400
                   licensed	0.68	0.75	0.71	   20
      licensing requirement	1.00	1.00	1.00	    2
                       lien	0.48	0.89	0.62	  719
                       life	0.30	0.78	0.43	   36
                      limit	0.42	0.83	0.56	   89
                 limitation	0.48	0.78	0.59	 1282
                    limited	0.35	0.75	0.48	  189
                liquidation	0.48	0.71	0.57	   65
                  liquidity	0.35	0.89	0.50	   76
                    listing	0.83	0.97	0.89	  317
                 litigation	0.79	0.95	0.86	 1073
                        llc	0.14	0.30	0.19	   10
                       loan	0.48	0.81	0.60	 2002
                   location	0.52	0.90	0.66	  301
                    lock-up	0.58	0.91	0.71	   47
                  long-term	0.33	0.85	0.47	   55
                       loss	0.49	0.81	0.61	   93
                     losses	0.32	0.90	0.48	   42
                       lost	0.51	0.97	0.67	   58
                    loyalty	0.59	0.74	0.65	   23
                maintenance	0.55	0.90	0.68	  771
                 management	0.55	0.88	0.68	  230
                    manager	0.47	0.72	0.57	   69
                  mandatory	0.38	0.87	0.53	  285
                     manner	0.35	0.74	0.48	  125
                  marketing	0.67	0.80	0.73	   50
                    marking	1.00	0.75	0.86	   12
                 marshaling	0.63	0.97	0.76	   35
                marshalling	0.48	0.91	0.63	   35
                   material	0.54	0.86	0.66	 1193
                   maturity	0.43	0.90	0.58	  172
                    maximum	0.29	0.91	0.45	  182
                  mechanics	0.61	0.86	0.71	   63
                    medical	0.29	0.76	0.42	   34
                    meeting	0.59	0.90	0.71	  116
                     member	0.34	0.84	0.49	   58
                 membership	0.35	0.76	0.48	   54
                 memorandum	0.48	0.96	0.64	   24
                     merger	0.53	0.85	0.66	  341
                     method	0.36	0.81	0.50	  232
                  milestone	0.38	0.61	0.47	   18
                    minimum	0.46	0.93	0.61	  288
              miscellaneous	0.22	0.61	0.32	  421
         misrepresentations	0.41	0.75	0.53	   24
               misstatement	0.38	0.92	0.54	   60
                 mitigation	0.58	0.98	0.73	  245
               modification	0.29	0.83	0.43	  725
           money laundering	0.80	0.95	0.87	   74
                    monthly	0.32	0.78	0.46	   60
                   mortgage	0.37	0.80	0.50	   81
                  mutilated	0.40	0.96	0.57	   28
                     mutual	0.34	0.73	0.47	  140
                       name	0.65	0.95	0.77	  335
                     nasdaq	0.32	0.95	0.47	   19
                     nature	0.41	0.77	0.54	  435
                negotiation	0.50	0.63	0.56	   27
          net rentable area	0.08	1.00	0.15	    2
                  net worth	0.83	0.99	0.90	   72
                  no accord	0.44	1.00	0.62	    4
          no advertisements	0.07	0.83	0.13	    6
              no bad actors	0.03	1.00	0.06	    2
              no challenges	0.80	0.57	0.67	    7
       no course of dealing	0.67	0.67	0.67	    6
               no debarment	0.75	1.00	0.86	    6
             no duplication	0.61	0.83	0.70	   53
           no encroachments	1.00	1.00	1.00	    8
                   no fraud	0.36	1.00	0.53	    4
              no inducement	0.17	0.40	0.24	    5
no objection from the finra	0.25	1.00	0.40	    3
           no re-employment	0.04	0.50	0.07	    2
            no reborrowings	0.71	0.83	0.77	    6
             no segregation	0.60	1.00	0.75	    3
           no short selling	0.18	1.00	0.31	    2
                   no waste	0.00	0.00	0.00	    1
              non-admission	0.32	0.91	0.48	   47
                non-compete	0.23	0.69	0.34	   52
            non-competition	0.41	0.82	0.54	  223
             non-disclosure	0.17	0.70	0.27	   81
          non-disparagement	0.79	0.95	0.86	  321
            non-duplication	0.42	0.86	0.56	   21
              non-exclusive	0.20	0.48	0.28	   21
            non-exclusivity	0.48	0.88	0.62	   72
           non-interference	0.18	0.68	0.28	   25
               non-recourse	0.42	0.87	0.56	   23
               non-reliance	0.55	0.94	0.69	  122
           non-solicitation	0.63	0.93	0.75	  394
        non-transferability	0.21	0.90	0.34	  132
                 non-waiver	0.06	0.79	0.11	   28
 nonadmission of wrongdoing	0.10	1.00	0.17	    2
              nonalienation	0.34	0.96	0.50	   26
             noncompetition	0.26	0.79	0.39	   56
              nondisclosure	0.14	0.61	0.22	   33
           nondisparagement	0.21	0.91	0.34	   66
             nonexclusivity	0.37	0.95	0.54	   39
               nonliability	0.29	0.89	0.43	    9
            nonsolicitation	0.17	0.79	0.28	   57
         nontransferability	0.18	0.97	0.30	  105
                     notice	0.75	0.88	0.81	 3488
               notification	0.46	0.86	0.60	  262
                   novation	0.39	0.97	0.56	   77
                     number	0.42	0.89	0.57	  293
                 objectives	0.34	0.67	0.45	   24
                 obligation	0.41	0.72	0.52	 1918
                    obligor	0.53	0.91	0.67	   56
                  occupancy	0.44	0.89	0.59	   27
                       ofac	0.38	0.95	0.54	  139
                      offer	0.46	0.83	0.59	   75
                   offering	0.66	0.95	0.78	  305
                     office	0.59	0.90	0.72	  416
                    officer	0.36	0.78	0.49	  184
                     offset	0.47	0.87	0.61	  172
                   omission	0.72	0.93	0.81	   72
                  operating	0.40	0.77	0.53	  105
                  operation	0.45	0.76	0.56	   98
                    opinion	0.88	0.99	0.94	  300
                     option	0.45	0.85	0.59	 1140
                   optional	0.46	0.92	0.61	  255
                      order	0.42	0.81	0.56	  119
               organization	0.70	0.95	0.81	 1012
             organizational	0.39	0.87	0.54	  158
                origination	0.74	0.97	0.84	   38
                      other	0.43	0.53	0.48	 3204
               outplacement	0.88	0.98	0.93	   58
                    outside	0.54	0.78	0.64	   36
                outstanding	0.31	0.71	0.43	   58
                overadvance	0.48	0.89	0.63	   18
                      owner	0.55	0.96	0.70	   46
                  ownership	0.40	0.78	0.53	  653
          owner’s affidavit	0.06	1.00	0.12	    1
                     parent	0.12	0.33	0.18	   24
            pari passu note	0.12	1.00	0.22	    1
                participant	0.37	0.80	0.50	  327
              participation	0.55	0.87	0.67	  693
                  partition	0.58	1.00	0.73	   15
                    partner	0.44	0.92	0.59	   65
                partnership	0.30	0.79	0.44	  115
                      party	0.37	0.76	0.50	 1122
                     patent	0.26	0.83	0.39	  106
                    patriot	0.81	0.97	0.89	  533
                        pay	0.42	0.75	0.54	  146
                    payment	0.60	0.73	0.66	 5057
              payoff letter	0.46	1.00	0.63	   11
                    payroll	0.26	0.74	0.39	   19
                    pension	0.32	0.78	0.45	   59
                 perfection	0.37	0.85	0.51	  131
                    perform	0.71	0.86	0.78	   37
                performance	0.44	0.82	0.57	 1091
                    permits	0.55	0.90	0.68	  263
                  permitted	0.47	0.82	0.60	  201
                 perquisite	0.43	0.89	0.58	   37
                     person	0.69	0.93	0.79	  310
                   personal	0.37	0.76	0.50	  156
                  personnel	0.55	0.81	0.65	   21
                   physical	0.94	0.77	0.85	   22
                      place	0.31	0.80	0.45	  183
                  placement	0.61	0.97	0.75	  180
                       plan	0.43	0.83	0.57	 1692
                     pledge	0.46	0.89	0.61	  225
                     policy	0.45	0.91	0.60	  304
                   position	0.38	0.90	0.53	  303
                 possession	0.52	0.90	0.66	  100
               post-closing	0.46	0.82	0.59	  121
    post-termination period	0.57	1.00	0.73	    4
                      power	0.44	0.88	0.59	  819
                  practices	0.55	0.94	0.70	   82
                 preference	0.50	0.91	0.65	   11
                   premises	0.40	0.82	0.54	  115
                    premium	0.27	0.82	0.41	   33
                preparation	0.49	0.74	0.59	   50
                 prepayment	0.57	0.93	0.71	  656
               preservation	0.47	0.91	0.62	  152
                presumption	0.70	0.98	0.82	  221
                      price	0.62	0.92	0.74	  725
                    pricing	0.28	0.50	0.36	   14
                  principal	0.33	0.86	0.48	  177
                      prior	0.22	0.76	0.34	  189
                   priority	0.36	0.82	0.50	  109
                    privacy	0.68	0.95	0.79	  141
                  privilege	0.55	0.71	0.62	   24
                  pro forma	0.45	0.93	0.61	   82
         pro rata treatment	0.71	0.95	0.81	   84
                  procedure	0.52	0.84	0.64	  667
                 proceeding	0.42	0.89	0.57	  461
                   proceeds	0.74	0.94	0.83	  944
                    process	0.29	0.89	0.44	  265
                 processing	0.78	0.95	0.86	   65
                    product	0.42	0.81	0.55	  133
                 production	0.89	1.00	0.94	   16
                     profit	0.27	0.73	0.39	   22
                    program	0.29	0.77	0.42	   57
                prohibition	0.64	0.86	0.73	   71
                projections	0.43	0.86	0.57	   70
            promissory note	0.47	0.84	0.61	   32
                   property	0.62	0.88	0.73	 1832
                proprietary	0.28	0.72	0.40	   86
                  proration	0.41	0.88	0.56	   41
                prosecution	0.33	0.83	0.48	   12
                 prospectus	0.67	0.85	0.75	   66
                 protection	0.59	0.84	0.69	  165
                  provision	0.29	0.74	0.41	  725
                      proxy	0.53	0.82	0.64	   38
                     public	0.41	0.88	0.56	  256
                  publicity	0.51	0.93	0.66	  250
                   purchase	0.50	0.87	0.63	  855
                  purchaser	0.64	0.93	0.76	  275
                    purpose	0.71	0.87	0.78	  474
                        put	0.47	1.00	0.64	   21
              qualification	0.34	0.88	0.49	  337
                    quality	0.54	0.80	0.65	   46
                  quarterly	0.84	0.92	0.88	  138
            quiet enjoyment	0.89	0.93	0.91	   45
                    ranking	0.48	0.89	0.63	   35
                       rate	0.59	0.95	0.73	  799
               ratification	0.46	0.95	0.62	  229
                     rating	0.86	0.97	0.91	   86
              reaffirmation	0.49	0.91	0.64	  212
               reallocation	0.67	0.97	0.79	  181
                 reasonable	0.29	0.85	0.43	   47
             reasonableness	0.41	0.84	0.55	   70
                    recalls	0.68	1.00	0.81	   26
           recapitalization	0.42	0.82	0.56	   39
                    receipt	0.49	0.78	0.60	  104
                 receivable	0.57	0.96	0.72	  162
                   receiver	0.60	0.89	0.72	   27
                  recipient	0.59	0.76	0.67	   21
                   recitals	0.80	0.92	0.85	  106
           reclassification	0.36	0.89	0.52	   28
                     record	0.64	0.92	0.75	  815
                  recording	0.56	0.98	0.71	   81
                 recoupment	0.38	0.90	0.54	  115
                   recourse	0.57	0.91	0.70	   80
                   recovery	0.45	0.83	0.59	   76
                 redemption	0.60	0.92	0.73	  110
                  reduction	0.63	0.95	0.76	  244
                  reference	0.30	0.86	0.45	  218
                refinancing	0.59	0.91	0.72	   69
                    refunds	0.98	0.98	0.98	  261
                   register	0.86	0.98	0.91	  265
               registration	0.60	0.91	0.72	  970
                 regulation	0.41	0.84	0.55	  506
                 regulatory	0.40	0.79	0.53	  220
              reimbursement	0.56	0.91	0.69	  748
              reinstatement	0.81	0.96	0.88	  210
                       reit	0.70	0.96	0.81	   51
               relationship	0.38	0.85	0.52	  314
                    release	0.59	0.87	0.71	 1072
                   reliance	0.74	0.93	0.82	  592
                     relief	0.40	0.93	0.56	  288
                 relocation	0.69	0.92	0.79	   74
                     remedy	0.52	0.91	0.66	 1267
                 remittance	0.57	0.57	0.57	   14
                    removal	0.51	0.91	0.65	  156
                    renewal	0.48	0.82	0.61	  123
                       rent	0.48	0.91	0.63	  190
             reorganization	0.47	0.88	0.61	   49
                     repair	0.39	0.81	0.53	   53
                  repayment	0.55	0.87	0.68	  382
                replacement	0.68	0.96	0.80	  332
                     report	0.50	0.83	0.62	  583
                  reporting	0.38	0.75	0.51	  269
             representation	0.57	0.84	0.68	 1910
             representative	0.70	0.89	0.78	   87
                  repricing	0.59	0.96	0.73	   49
                 repurchase	0.48	0.80	0.60	   56
                    request	0.64	0.91	0.76	  429
                   required	0.38	0.76	0.51	  212
                     resale	0.51	0.82	0.63	   56
                 rescission	0.84	0.87	0.85	   87
                reservation	0.64	0.88	0.74	  229
                    reserve	0.45	0.90	0.60	  212
                resignation	0.52	0.88	0.65	  430
                 resolution	0.32	0.86	0.47	  296
             responsibility	0.39	0.83	0.53	  260
              restated note	0.02	0.50	0.04	    2
                restatement	0.47	0.90	0.62	  125
                restoration	0.40	0.85	0.54	   26
          restricted period	0.37	0.81	0.51	   26
                restriction	0.36	0.77	0.49	  954
                restrictive	0.34	0.83	0.48	  214
                  retainers	0.31	0.80	0.44	    5
                  retention	0.48	0.72	0.57	  102
                 retirement	0.40	0.89	0.55	  270
                     return	0.57	0.90	0.70	  530
                    revenue	0.16	0.44	0.23	   18
                     review	0.49	0.85	0.62	  216
                 revocation	0.54	0.88	0.67	  115
                     revoke	0.14	0.71	0.24	   14
                      right	0.59	0.72	0.65	 4256
                       risk	0.57	0.81	0.67	  105
                       role	0.87	0.96	0.91	   69
                   rollover	0.67	0.91	0.77	   22
                   rounding	0.77	0.96	0.86	   25
                    royalty	0.51	0.92	0.65	   52
                        rsu	0.30	0.84	0.44	  184
                       rule	0.29	0.76	0.42	  309
             safety matters	0.12	0.75	0.20	    4
                     salary	0.81	0.94	0.87	  853
                       sale	0.51	0.82	0.63	  853
                  sanctions	0.65	0.96	0.77	  323
                        sar	0.36	0.91	0.51	  106
             sarbanes-oxley	0.84	1.00	0.91	  115
               satisfaction	0.51	0.78	0.62	   32
                     saving	0.30	0.85	0.44	   78
                   schedule	0.34	0.82	0.48	  200
                      scope	0.21	0.48	0.30	   64
             search results	0.00	0.00	0.00	    0
                   searches	0.72	0.96	0.82	   78
                        sec	0.69	0.95	0.80	  236
                     second	0.31	0.65	0.42	   23
                    section	0.54	0.90	0.67	  328
             securitization	0.83	0.88	0.86	   17
                   security	0.45	0.78	0.58	 1804
                  selection	0.42	0.73	0.53	   90
                       sell	0.36	0.88	0.51	   33
                     seller	0.24	0.69	0.36	  102
                   seller’s	0.17	0.56	0.26	   25
                     senior	0.45	0.82	0.58	   72
               separability	0.01	0.88	0.03	   16
               separateness	0.60	0.88	0.71	   17
                 separation	0.37	0.82	0.51	  227
                    service	0.38	0.78	0.51	 1058
                   servicer	0.42	0.91	0.58	   58
                  servicing	0.50	0.85	0.63	   80
                    set-off	0.44	0.90	0.59	  233
                     setoff	0.63	0.94	0.75	  268
                 settlement	0.44	0.84	0.58	  394
               severability	0.84	0.96	0.90	 1851
                    several	0.70	0.92	0.79	  237
                  severance	0.31	0.81	0.45	  291
                      share	0.41	0.80	0.54	 1715
                shareholder	0.47	0.90	0.62	  305
                    sharing	0.71	0.92	0.80	  139
                      shell	0.47	1.00	0.64	   34
                       sick	0.21	0.80	0.33	   15
                       sign	0.29	0.88	0.44	   24
                    signage	0.74	0.88	0.80	   56
                  signature	0.14	0.82	0.24	  193
                    signing	0.59	0.81	0.69	   43
                       size	0.78	0.91	0.84	   23
                       sole	0.17	0.85	0.28	   27
               solicitation	0.59	0.92	0.72	  243
                   solvency	0.91	0.98	0.94	  450
             sophistication	0.25	0.67	0.36	   21
                    special	0.57	0.73	0.64	   97
                   specific	0.53	0.94	0.68	  336
             specifications	0.28	0.79	0.41	   14
                  specified	0.49	0.95	0.65	  103
                     splits	0.51	0.94	0.66	  102
          stability testing	1.00	1.00	1.00	    3
                   standard	0.50	0.68	0.58	   69
                      state	0.51	0.77	0.61	   61
                  statement	0.64	0.91	0.75	 1303
                     status	0.48	0.84	0.61	  759
                    statute	0.63	0.84	0.72	   31
                       stay	0.80	0.99	0.88	   80
                      stock	0.39	0.78	0.52	 1817
                stockholder	0.53	0.91	0.67	  447
                     stolen	0.33	0.97	0.49	   29
                    storage	0.59	0.68	0.63	   19
                  structure	0.43	0.79	0.56	  101
                subdivision	0.51	0.91	0.66	   23
                   sublease	0.17	0.47	0.25	   15
                 sublicense	0.55	0.75	0.63	   16
                 submission	0.30	0.87	0.44	  275
              subordination	0.61	0.93	0.74	  211
                subrogation	0.88	0.96	0.92	  321
               subscription	0.69	0.93	0.79	   27
                 subsequent	0.64	0.87	0.74	  150
                 subsidiary	0.68	0.90	0.78	  803
               substitution	0.67	0.89	0.76	   45
                 succession	0.25	0.68	0.36	   25
                  successor	0.61	0.93	0.74	 1908
                sufficiency	0.27	0.70	0.39	   27
                       suit	0.29	0.88	0.44	   42
                 supplement	0.39	0.81	0.53	   47
          supplemental hvac	0.29	1.00	0.44	    6
                     supply	0.22	0.44	0.29	   32
                    support	0.74	0.86	0.79	   90
               surety bonds	0.50	1.00	0.67	    1
                  surrender	0.51	0.80	0.62	   59
                   survival	0.84	0.94	0.89	 1708
                 suspension	0.65	0.91	0.76	  140
                       swap	0.83	0.94	0.88	   98
                syndication	0.30	0.86	0.44	   37
                     system	0.39	0.77	0.52	   30
                     taking	0.57	0.78	0.66	   40
                     tandem	0.63	0.92	0.75	   26
                     target	0.37	0.80	0.51	   40
                        tax	0.43	0.86	0.58	 1369
                   taxation	0.47	0.47	0.47	   15
                      taxes	0.60	0.91	0.73	 2053
                  technical	0.67	0.67	0.67	   15
          temporary housing	0.25	0.50	0.33	    2
                     tenant	0.24	0.62	0.35	  111
         tenant’s architect	0.00	0.00	0.00	    0
                       term	0.52	0.78	0.62	 2714
                termination	0.57	0.81	0.67	 3696
                       test	0.57	0.81	0.67	   26
                      third	0.43	0.82	0.56	  611
        third-party vendors	0.83	1.00	0.91	    5
                       time	0.35	0.82	0.50	  396
                     timing	0.29	0.72	0.42	  258
                      title	0.52	0.88	0.66	  789
                    tolling	0.73	0.92	0.81	   26
                      total	0.44	0.89	0.59	  100
              trade secrets	0.32	0.89	0.48	   72
                  trademark	0.25	0.84	0.38	   74
                    trading	0.77	0.96	0.85	  197
                    tranche	0.65	0.76	0.70	   17
                transaction	0.71	0.86	0.78	  914
                   transfer	0.40	0.81	0.53	 1075
            transferability	0.35	0.89	0.50	  282
                 transferee	0.42	0.79	0.55	   34
                 transition	0.31	0.76	0.44	   58
                     travel	0.14	0.73	0.24	   15
              trial by jury	0.15	0.90	0.25	   96
                       true	0.32	0.84	0.46	   55
                      trust	0.52	0.91	0.67	  149
                    trustee	0.47	0.91	0.62	   81
                       type	0.43	0.82	0.56	  101
                        ucc	0.40	0.90	0.55	   69
              unconditional	0.47	1.00	0.64	   34
              understanding	0.21	0.71	0.32	   62
                undertaking	0.83	0.74	0.78	   27
          undisclosed event	0.74	0.99	0.85	  109
                   unfunded	0.52	0.97	0.67	  102
                       unit	0.38	0.87	0.53	  569
                  unsecured	0.36	0.91	0.52	   69
                     update	0.50	0.77	0.61	   26
                    upfront	0.58	0.85	0.69	   46
                        usa	0.56	0.97	0.71	  273
                      usage	0.58	0.89	0.70	   56
                        use	0.74	0.89	0.81	 1011
                      usury	0.43	0.95	0.59	   80
                    utility	0.57	0.90	0.70	   68
                   vacation	0.75	0.97	0.85	  325
                   validity	0.22	0.80	0.34	  240
                  valuation	0.52	0.81	0.63	   36
                      value	0.51	0.88	0.65	  103
                    vehicle	0.66	0.88	0.75	   49
                    venture	0.26	0.89	0.41	   57
                      venue	0.34	0.88	0.49	  588
               verification	0.67	0.89	0.77	   35
                    vesting	0.46	0.87	0.60	  835
            vice presidents	1.00	0.36	0.53	   11
                  violation	0.36	0.82	0.50	   96
                 visitation	0.43	0.94	0.59	   34
                  voluntary	0.41	0.87	0.55	  397
                       vote	0.46	0.92	0.62	   13
                     voting	0.40	0.90	0.55	  268
                     waiver	0.75	0.88	0.81	 4334
                    warrant	0.48	0.88	0.62	  362
                   warranty	0.54	0.86	0.67	 1421
                    welfare	0.36	0.88	0.51	   66
              whistleblower	0.16	0.91	0.27	   11
                 withdrawal	0.81	0.86	0.84	  130
                withholding	0.71	0.96	0.81	 1249
                    witness	0.82	0.88	0.85	   26
                       work	0.39	0.84	0.53	   99
                       year	0.59	0.93	0.73	  208
Macro Avg. Rec: 0.85
Macro Avg. Prec: 0.49
Macro F1: 0.61

Micro Avg. Rec: 0.86
Micro Avg. Prec: 0.51
Micro F1: 0.64

